n,mean,stderr
1000,0.00002872,0.00000082
2000,0.00005963,0.00000043
3000,0.00009493,0.00000074
4000,0.00012866,0.00000088
5000,0.00016528,0.00000069
6000,0.00020325,0.00000091
7000,0.00024019,0.00000080
8000,0.00027917,0.00000149
9000,0.00031825,0.00000125
10000,0.00035718,0.00000182
11000,0.00040693,0.00000714
12000,0.00043481,0.00000303
13000,0.00047302,0.00000173
14000,0.00051610,0.00000235
15000,0.00055706,0.00000223
16000,0.00059774,0.00000170
17000,0.00064534,0.00000253
18000,0.00068527,0.00000190
19000,0.00075030,0.00000813
20000,0.00077387,0.00000346
